"","x"
"640",951
"641",950
"642",949
"643",948
"644",947
"645",946
"646",986
"647",985
"648",984
"649",983
"650",982
"651",981
"652",980
"653",979
"654",978
"655",977
"656",976
"657",1015
"658",1014
"659",1013
"660",1012
"661",1011
"662",1010
"663",1009
"664",1008
"665",1007
"666",1044
"667",1043
"668",1042
"669",1041
"670",1040
"671",1039
"672",1038
"673",1073
"674",1072
"675",1071
"676",1070
"677",1069
"678",1068
