"","lon","lat"
"215",40.9968,19.1253
"216",40.9968,19.2918
"217",40.9968,19.4472
"218",40.9968,19.6137
"219",40.9968,19.7913
"220",40.9968,19.9578
"221",40.9968,20.1132
"222",40.9968,20.2797
"223",40.9968,20.4462
"224",40.9968,20.6238
"225",40.9968,20.7903
"226",40.9968,20.9568
"227",40.9968,21.1122
"228",40.9968,21.2787
"229",40.9968,21.4563
"230",40.9968,21.6228
"231",40.9968,21.7782
"232",40.9968,21.9447
"233",40.9968,22.1112
"234",40.9968,22.2888
"235",41.1632,17.6268
"236",41.1632,17.7822
"237",41.1632,17.9487
"238",41.1632,18.1263
"239",41.1632,18.2928
"240",41.1632,18.4482
"241",41.1632,18.6147
"242",41.1632,18.7812
"243",41.1632,18.9588
"244",41.1632,19.1253
"245",41.1632,19.2918
"246",41.1632,19.4472
"247",41.1632,19.6137
"248",41.1632,19.7913
"249",41.1632,19.9578
"250",41.1632,20.1132
"251",41.1632,20.2797
"252",41.1632,20.4462
"253",41.1632,20.6238
"254",41.1632,20.7903
"255",41.1632,20.9568
"256",41.1632,21.1122
"257",41.1632,21.2787
"258",41.1632,21.4563
"259",41.1632,21.6228
"260",41.1632,21.7782
"261",41.1632,21.9447
"262",41.1632,22.1112
"263",41.1632,22.2888
"264",41.3088,17.6268
"265",41.3088,17.7822
"266",41.3088,17.9487
"267",41.3088,18.1263
"268",41.3088,18.2928
"269",41.3088,18.4482
"270",41.3088,18.6147
"271",41.3088,18.7812
"272",41.3088,18.9588
"273",41.3088,19.1253
"274",41.3088,19.2918
"275",41.3088,19.4472
"276",41.3088,19.6137
"277",41.3088,19.7913
"278",41.3088,19.9578
"279",41.3088,20.1132
"280",41.3088,20.2797
"281",41.3088,20.4462
"282",41.3088,20.6238
"283",41.3088,20.7903
"284",41.3088,20.9568
"285",41.3088,21.1122
"286",41.3088,21.2787
"287",41.3088,21.4563
"288",41.3088,21.6228
"289",41.3088,21.7782
"290",41.3088,21.9447
"291",41.3088,22.1112
"292",41.3088,22.2888
"293",41.4752,17.6268
"294",41.4752,17.7822
"295",41.4752,17.9487
"296",41.4752,18.1263
"297",41.4752,18.2928
"298",41.4752,18.4482
"299",41.4752,18.6147
"300",41.4752,18.7812
"301",41.4752,18.9588
"302",41.4752,19.1253
"303",41.4752,19.2918
"304",41.4752,19.4472
"305",41.4752,19.6137
"306",41.4752,19.7913
"307",41.4752,19.9578
"308",41.4752,20.1132
"309",41.4752,20.2797
"310",41.4752,20.4462
"311",41.4752,20.6238
"312",41.4752,20.7903
"313",41.4752,20.9568
"314",41.4752,21.1122
"315",41.4752,21.2787
"316",41.4752,21.4563
"317",41.4752,21.6228
"318",41.4752,21.7782
"319",41.4752,21.9447
"320",41.4752,22.1112
"321",41.4752,22.2888
"322",41.6312,17.6268
"323",41.6312,17.7822
"324",41.6312,17.9487
"325",41.6312,18.1263
"326",41.6312,18.2928
"327",41.6312,18.4482
"328",41.6312,18.6147
"329",41.6312,18.7812
"330",41.6312,18.9588
"331",41.6312,19.1253
"332",41.6312,19.2918
"333",41.6312,19.4472
"334",41.6312,19.6137
"335",41.6312,19.7913
"336",41.6312,19.9578
"337",41.6312,20.1132
"338",41.6312,20.2797
"339",41.6312,20.4462
"340",41.6312,20.6238
"341",41.6312,20.7903
"342",41.6312,20.9568
"343",41.6312,21.1122
"344",41.6312,21.2787
"345",41.6312,21.4563
"346",41.6312,21.6228
"347",41.6312,21.7782
"348",41.6312,21.9447
"349",41.6312,22.1112
"350",41.6312,22.2888
"351",41.7768,17.6268
"352",41.7768,17.7822
"353",41.7768,17.9487
"354",41.7768,18.1263
"355",41.7768,18.2928
"356",41.7768,18.4482
"357",41.7768,18.6147
"358",41.7768,18.7812
"359",41.7768,18.9588
"360",41.7768,19.1253
"361",41.7768,19.2918
"362",41.7768,19.4472
"363",41.7768,19.6137
"364",41.7768,19.7913
"365",41.7768,19.9578
"366",41.7768,20.1132
"367",41.7768,20.2797
"368",41.7768,20.4462
"369",41.7768,20.6238
"370",41.7768,20.7903
"371",41.7768,20.9568
"372",41.7768,21.1122
"373",41.7768,21.2787
"374",41.7768,21.4563
"375",41.7768,21.6228
"376",41.7768,21.7782
"377",41.7768,21.9447
"378",41.7768,22.1112
"379",41.7768,22.2888
"380",41.9432,17.6268
"381",41.9432,17.7822
"382",41.9432,17.9487
"383",41.9432,18.1263
"384",41.9432,18.2928
"385",41.9432,18.4482
"386",41.9432,18.6147
"387",41.9432,18.7812
"388",41.9432,18.9588
"389",41.9432,19.1253
"390",41.9432,19.2918
"391",41.9432,19.4472
"392",41.9432,19.6137
"393",41.9432,19.7913
"394",41.9432,19.9578
"395",41.9432,20.1132
"396",41.9432,20.2797
"397",41.9432,20.4462
"398",41.9432,20.6238
"399",41.9432,20.7903
"400",41.9432,20.9568
"401",41.9432,21.1122
"402",41.9432,21.2787
"403",41.9432,21.4563
"404",41.9432,21.6228
"405",41.9432,21.7782
"406",41.9432,21.9447
"407",41.9432,22.1112
"408",41.9432,22.2888
"409",42.0888,17.6268
"410",42.0888,17.7822
"411",42.0888,17.9487
"412",42.0888,18.1263
"413",42.0888,18.2928
"414",42.0888,18.4482
"415",42.0888,18.6147
"416",42.0888,18.7812
"417",42.0888,18.9588
"418",42.0888,19.1253
"419",42.0888,19.2918
"420",42.0888,19.4472
"421",42.0888,19.6137
"422",42.0888,19.7913
"423",42.0888,19.9578
"424",42.0888,20.1132
"425",42.0888,20.2797
"426",42.0888,20.4462
"427",42.0888,20.6238
"428",42.0888,20.7903
"429",42.0888,20.9568
"430",42.0888,21.1122
"431",42.0888,21.2787
"432",42.0888,21.4563
"433",42.0888,21.6228
"434",42.0888,21.7782
"435",42.0888,21.9447
"436",42.0888,22.1112
"437",42.2448,17.6268
"438",42.2448,17.7822
"439",42.2448,17.9487
"440",42.2448,18.1263
"441",42.2448,18.2928
"442",42.2448,18.4482
"443",42.2448,18.6147
"444",42.2448,18.7812
"445",42.2448,18.9588
"446",42.2448,19.1253
"447",42.2448,19.2918
"448",42.2448,19.4472
"449",42.2448,19.6137
"450",42.2448,19.7913
"451",42.2448,19.9578
"452",42.2448,20.1132
"453",42.2448,20.2797
"454",42.2448,20.4462
"455",42.2448,20.6238
"456",42.2448,20.7903
"457",42.2448,20.9568
"458",42.2448,21.1122
"459",42.2448,21.2787
"460",42.2448,21.4563
"461",42.2448,21.6228
"462",42.2448,21.7782
